report_date,api_id,api_name,customer_id,customer_name,api_total_count,api_success_count,api_failure_count
2026-04-1,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,OUT_API_004,CustomerMasterFetch,179858,Epsilon Carbon Pvt Ltd,1,1,0
2026-04-1,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,51,51,0
2026-04-1,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,11,9,2
2026-04-1,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,47,46,1
2026-04-1,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,9,7,2
2026-04-1,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,79,68,11
2026-04-1,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-1,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,OUT_API_004,CustomerMasterFetch,179858,Epsilon Carbon Pvt Ltd,1,1,0
2026-04-1,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,11,9,2
2026-04-1,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,47,46,1
2026-04-1,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,51,51,0
2026-04-1,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,79,68,11
2026-04-1,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,9,7,2
2026-04-1,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,144,144,0
2026-04-1,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-2,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,21,21,0
2026-04-2,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-2,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,36,21,15
2026-04-2,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,57,54,3
2026-04-2,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,78,78,0
2026-04-2,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,94,76,18
2026-04-2,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,9,3,6
2026-04-2,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,78,78,0
2026-04-3,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,43,42,1
2026-04-3,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,46,46,0
2026-04-3,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,98,98,0
2026-04-3,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,46,29,17
2026-04-3,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,89,75,14
2026-04-3,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,21,11,10
2026-04-3,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,38,38,0
2026-04-3,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,98,98,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_002,Gate Out,179858,Epsilon Carbon Pvt Ltd,31,31,0
2026-04-4,IN_API_050,Shipment Details,179858,Epsilon Carbon Pvt Ltd,40,20,20
2026-04-4,IN_API_018,Requisition,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,IN_API_001,Gate In,179858,Epsilon Carbon Pvt Ltd,73,73,0
2026-04-4,OUT_API_028,Vehicle Gate In,179858,Epsilon Carbon Pvt Ltd,44,44,0
2026-04-4,IN_API_030,Delete Document,179858,Epsilon Carbon Pvt Ltd,10,9,1
2026-04-4,IN_API_005,Tare/Gross Weight,179858,Epsilon Carbon Pvt Ltd,127,110,17
2026-04-4,OUT_API_156,Requisition Response,179858,Epsilon Carbon Pvt Ltd,73,73,0
